IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.230.200.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,138,10.78
150.230.221.114,80,80,false,HKG,Asia Pacific,Hong Kong,140,10.77
158.101.94.15,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.77
150.230.202.232,8443,8443,true,NRT,Asia Pacific,Tokyo,73,10.76
150.230.216.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,146,10.75
150.230.196.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,189,10.74
150.230.199.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,10.74
131.186.43.107,8080,8080,false,NRT,Asia Pacific,Tokyo,128,10.74
143.47.239.85,443,443,true,FRA,Europe,Frankfurt,195,10.74
141.148.244.187,443,443,true,FRA,Europe,Frankfurt,172,10.74
168.138.208.164,2053,2053,true,LAX,North America,Los Angeles,269,10.73
168.138.212.175,2083,2083,true,HKG,Asia Pacific,Hong Kong,215,10.72
158.101.154.70,2053,2053,true,HKG,Asia Pacific,Hong Kong,139,10.72
132.226.6.5,2087,2087,true,HKG,Asia Pacific,Hong Kong,196,10.72
140.238.39.33,2086,2086,false,HKG,Asia Pacific,Hong Kong,189,10.70
132.145.126.204,2086,2086,false,NRT,Asia Pacific,Tokyo,81,10.70
132.145.124.198,80,80,false,LAX,North America,Los Angeles,238,10.69
138.3.217.39,80,80,false,SIN,Asia Pacific,Singapore,192,10.69
89.168.76.95,443,443,true,FRA,Europe,Frankfurt,165,10.69
141.147.114.14,443,443,true,FRA,Europe,Frankfurt,174,10.69
138.2.12.32,2083,2083,true,LAX,North America,Los Angeles,186,10.69
131.186.39.42,2082,2082,false,NRT,Asia Pacific,Tokyo,129,10.69
151.145.69.105,2096,2096,true,HKG,Asia Pacific,Hong Kong,198,10.68
138.3.222.204,2096,2096,true,HKG,Asia Pacific,Hong Kong,233,10.68
158.101.148.221,2095,2095,false,HKG,Asia Pacific,Hong Kong,181,10.67
131.186.40.31,2052,2052,false,HKG,Asia Pacific,Hong Kong,132,10.67
150.230.107.197,2095,2095,false,SIN,Asia Pacific,Singapore,210,10.66
132.145.121.123,8080,8080,false,HKG,Asia Pacific,Hong Kong,140,10.65
168.138.217.146,2052,2052,false,SIN,Asia Pacific,Singapore,201,10.65
138.3.222.204,8443,8443,true,SIN,Asia Pacific,Singapore,202,10.65
132.145.123.238,8880,8880,false,HKG,Asia Pacific,Hong Kong,195,10.64
158.101.144.189,2096,2096,true,NRT,Asia Pacific,Tokyo,93,10.64
132.145.113.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,139,10.64
132.145.127.51,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,10.63
138.3.215.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,144,10.63
151.145.71.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,186,10.63
138.3.222.204,2053,2053,true,SIN,Asia Pacific,Singapore,193,10.62
158.101.149.122,8080,8080,false,HKG,Asia Pacific,Hong Kong,192,10.62
132.145.123.238,2052,2052,false,NRT,Asia Pacific,Tokyo,119,10.60
158.101.81.4,2052,2052,false,LAX,North America,Los Angeles,184,10.58
138.2.19.122,2082,2082,false,HKG,Asia Pacific,Hong Kong,192,10.56
168.138.211.131,2053,2053,true,LAX,North America,Los Angeles,234,10.55
131.186.62.26,2052,2052,false,SIN,Asia Pacific,Singapore,205,10.55
168.138.206.109,2096,2096,true,NRT,Asia Pacific,Tokyo,170,10.55
168.138.198.202,2083,2083,true,NRT,Asia Pacific,Tokyo,169,10.55
150.230.197.156,2082,2082,false,NRT,Asia Pacific,Tokyo,77,10.55
150.230.196.73,2082,2082,false,HKG,Asia Pacific,Hong Kong,143,10.54
151.145.65.8,8443,8443,true,NRT,Asia Pacific,Tokyo,121,10.54
140.83.38.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,140,10.52
158.101.140.255,2095,2095,false,LAX,North America,Los Angeles,182,10.52
138.2.25.122,2087,2087,true,NRT,Asia Pacific,Tokyo,81,10.52
138.3.210.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,156,10.51
131.186.59.94,80,80,false,LAX,North America,Los Angeles,245,10.51
158.101.206.5,443,443,true,FRA,Europe,Frankfurt,158,10.50
150.230.208.113,2082,2082,false,HKG,Asia Pacific,Hong Kong,193,10.49
150.230.99.173,8080,8080,false,LAX,North America,Los Angeles,183,10.49
141.147.191.211,2087,2087,true,SIN,Asia Pacific,Singapore,201,10.48
150.230.212.9,2096,2096,true,NRT,Asia Pacific,Tokyo,75,10.48
141.147.30.219,443,443,true,FRA,Europe,Frankfurt,234,10.48
168.138.205.38,80,80,false,SIN,Asia Pacific,Singapore,151,10.47
168.138.200.155,8443,8443,true,HKG,Asia Pacific,Hong Kong,238,10.47
131.186.47.223,2052,2052,false,SIN,Asia Pacific,Singapore,155,10.47
141.147.167.40,2083,2083,true,NRT,Asia Pacific,Tokyo,78,10.47
143.47.189.4,443,443,true,FRA,Europe,Frankfurt,160,10.45
141.147.181.148,2083,2083,true,LAX,North America,Los Angeles,278,10.44
158.101.148.221,2087,2087,true,HKG,Asia Pacific,Hong Kong,200,10.43
132.145.123.159,2053,2053,true,NRT,Asia Pacific,Tokyo,135,10.42
141.147.186.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,149,10.41
138.3.212.162,8880,8880,false,SIN,Asia Pacific,Singapore,145,10.40
84.235.174.210,443,443,true,FRA,Europe,Frankfurt,196,10.40
150.230.208.113,2095,2095,false,HKG,Asia Pacific,Hong Kong,193,10.39
168.138.211.131,8080,8080,false,LAX,North America,Los Angeles,198,10.39
143.47.178.110,443,443,true,FRA,Europe,Frankfurt,165,10.38
132.145.113.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,10.37
150.230.201.39,2086,2086,false,NRT,Asia Pacific,Tokyo,128,10.37
150.230.201.39,80,80,false,NRT,Asia Pacific,Tokyo,76,10.37
138.2.6.15,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,10.36
143.47.183.20,443,443,true,FRA,Europe,Frankfurt,182,10.35
168.138.202.169,2082,2082,false,NRT,Asia Pacific,Tokyo,73,10.34
89.168.126.99,443,443,true,FRA,Europe,Frankfurt,215,10.32
140.238.33.94,2096,2096,true,NRT,Asia Pacific,Tokyo,153,10.32
140.238.44.118,2053,2053,true,LAX,North America,Los Angeles,183,10.31
132.145.123.238,8443,8443,true,LAX,North America,Los Angeles,184,10.31
141.147.178.135,2087,2087,true,HKG,Asia Pacific,Hong Kong,133,10.30
158.101.90.190,2086,2086,false,NRT,Asia Pacific,Tokyo,128,10.30
132.145.127.21,2095,2095,false,NRT,Asia Pacific,Tokyo,76,10.30
132.145.127.51,2082,2082,false,HKG,Asia Pacific,Hong Kong,143,10.30
168.138.206.109,2053,2053,true,NRT,Asia Pacific,Tokyo,102,10.28
150.230.201.162,8880,8880,false,SIN,Asia Pacific,Singapore,156,10.28
158.101.144.189,2083,2083,true,NRT,Asia Pacific,Tokyo,142,10.28
150.230.221.219,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.28
150.230.193.89,2095,2095,false,HKG,Asia Pacific,Hong Kong,188,10.28
151.145.75.28,2087,2087,true,NRT,Asia Pacific,Tokyo,77,10.27
138.2.14.248,2086,2086,false,HKG,Asia Pacific,Hong Kong,197,10.27
140.238.41.253,80,80,false,HKG,Asia Pacific,Hong Kong,145,10.26
141.147.178.202,2087,2087,true,HKG,Asia Pacific,Hong Kong,142,10.26
141.147.174.7,2053,2053,true,NRT,Asia Pacific,Tokyo,75,10.26
132.145.112.168,2052,2052,false,SIN,Asia Pacific,Singapore,200,10.26
132.145.13.173,443,443,true,FRA,Europe,Frankfurt,174,10.25
